id,name
0,NEXT Studios
1,Team17
2,Vertigo Gaming Inc.
3,IndieLeague Studio
4,2P Games
5,Villain Role
6,Kubold
7,KillPixel
8,3D Realms
9,Fishing Planet LLC
10,Big Blue Bubble
11,Resolution Games
12,1C Game Studios
13,Three Dots
14,Strange Journey
15,#workshop
16,NVLMaker
17,Paintbucket Games
18,HandyGames
19,Mad About Pandas
20,Versus Evil
21,Two Point Studios
22,SEGA
23,Dani Marti
24,Dume Arts
25,Flow Fire Games
26,Pendulo Studios
27,Microids
28,SnowBaby Games
29,A Shell In The Pit
30,Texel Raptor
31,The Knights of Unity
32,All in! Games
33,KT Racing
34,Nacon
35,mino_dev LLC
36,Codemasters
37,Eko Software
38,AQUASTYLE
39,GameHouse
40,"Jackbox Games, Inc."
41,Catze
42,Yiming
43,Roman Makhmutov
44,Mediator Software
45,SANDLOT
46,D3 PUBLISHER
47,Gallivanting Rhino Studio
48,Sigma Team Inc.
49,Wet Girl
50,Shoot Girl
51,Temple Gates Games
52,Treyarch
53,Activision
54,"AQURIA Co., Ltd."
55,BANDAI NAMCO Entertainment
56,ASa Project
57,NekoNyan Ltd.
58,Lump of Sugar
59,Ancient Forge Studio
60,Frozen District
61,Behaviour Interactive Inc.
62,Dovetail Games
63,Dovetail Games - TSW
64,DIMPS
65,Steamberry Studio
66,TOKYOTOON
67,Nightdive Studios
68,Turning Wheel LLC
69,Kaigan Games
70,Neon Doctrine
71,Michael Long
72,Foolish Mortals Games
73,We're Five Games
74,tinyBuild
75,KAGAMI WORKs
76,Paradise Project
77,ONEONE1
78,Kagura Games
79,light
80,"views Co., Ltd"
81,Clymenia
82,Rivet Games
83,Dovetail Games - Trains
84,"Stovetop, LLC"
85,Devs on a Boat
86,CM Games
87,Rock Pocket Games
88,Funcom
89,Robot Gentleman
90,Saber Interactive
91,Ghost Town Games Ltd.
92,Team17 Digital Ltd
93,Somi
94,Acerola
95,Tim van Kan
96,TiMer Games
97,LAN - GAMES LTD
98,Radical Entertainment
99,Crackshell
100,CreSpirit
101,SCS Software
102,Marcel Eissens
103,The I Love Company BV
104,Visual Concepts
105,2K
106,Skyline Games
107,shinachiku-castella
108,U-ROOM
109,Asakiyumemishi
110,Giants Software
111,Focus Home Interactive
