id,title,description,date,dev_id,pub_id,metascore,age_rating,agency
1000010,Crown Trick,"Enter a labyrinth that moves as you move, where mastering the elements is key to defeating enemies and uncovering the mysteries of this underground world. With a new experience awaiting every time you enter the dungeon, let the power bestowed by the crown guide you in this challenging adventure!","16 Oct, 2020",0,1,83,,
1000030,"Cook, Serve, Delicious! 3?!","Cook, serve and manage your food truck as you dish out hundreds of different foods across war-torn America in this massive sequel to the million-selling series!","14 Oct, 2020",2,2,79,7,PEGI
1000080,Zengeon,Zengeon is an anime infused Action RPG and Roguelite with a selection of unique characters and varying play-styles. Slaughter your way through demonic hordes and colossal bosses with hundreds of combination and skill possibilities!,"24 Jun, 2019",3,4,N/A,,
1000280,Tower of Origin2-Worm's Nest,"As the protagonist，the Balrog Princess— HongYe, after helping humans assess the rebellion. She thought she couldhave a stable life, but unexpectedly fell into a bigger crisis. What kind of ♂hardships ♂ will she experience this time, and how ♂interesting experiences♂ she will encounter.","11 Jul, 2020",5,5,N/A,,
1000360,Hellish Quart,"A physics based, realistic, 3D sword dueling game set in 17th century. Currently it features survival mode, duels vs. AI, wooden weapons sparring and a local multiplayer mode. Early Access.","16 Feb, 2021",6,6,N/A,,
1000410,WRATH: Aeon of Ruin,"3D Realms, creators of Duke Nukem 3D, Prey, and Max Payne, presents a hard-core first person shooter, powered by the legendary Quake-1 Tech. Crafted by the hands of Quake-scene necromancers, WRATH is the real deal. You will not survive...","22 Nov, 2019",7,8,N/A,,
1000717,Fishing Planet - Sport Bottom Pack,,"27 Nov, 2019",9,-1,N/A,3,PEGI
1000718,Fishing Planet - Sport Carp Pack,,"27 Nov, 2019",9,-1,N/A,3,PEGI
1000760,Foregone,Foregone is a fast and fluid 2D action-platformer packed with legendary loot and stunning pixel art. Collect an arsenal of powerful weapons and unravel a compelling story of regret and conspiracy as you slice your way through hordes of enemies to save Calagan.,"1 Mar, 2021",10,10,73,,
1001140,Angry Birds VR: Isle of Pigs,"Join Red, Chuck, Bomb & the Blues to save the stolen eggs in Angry Birds VR: Isle of Pigs, an immersive VR adventure! Discover the island where the greedy pigs vacation, slingshot your way to defeat Dr. Frankenswine & create/share/discover an infinite number of levels with the online level builder.","7 Feb, 2019",11,11,79,,
1001370,IL-2 Sturmovik: Fortress on the Volga Campaign,,"19 Dec, 2018",12,12,N/A,,
1001371,IL-2 Sturmovik: Polikarpov U-2VS,,"23 Jan, 2019",12,12,N/A,,
