id,tag,type
1000010,Roguelike,T
1000010,Turn-Based Combat,T
1000010,RPG,T
1000010,Perma Death,T
1000010,Roguelite,T
1000010,Adventure,T
1000010,Strategy,T
1000010,Turn-Based,T
1000010,Dungeon Crawler,T
1000010,Turn-Based Strategy,T
1000010,Female Protagonist,T
1000010,Singleplayer,T
1000010,2D,T
1000010,Replay Value,T
1000010,Difficult,T
1000010,Tactical,T
1000010,Action-Adventure,T
1000010,Fantasy,T
1000010,Top-Down,T
1000010,Magic,T
1000010,Single-player,C
1000010,Steam Achievements,C
1000010,Steam Trading Cards,C
1000010,Partial Controller Support,C
1000010,Steam Cloud,C
1000030,Typing,T
1000030,Casual,T
1000030,Management,T
1000030,Difficult,T
1000030,Arcade,T
1000030,Strategy,T
1000030,2D,T
1000030,Funny,T
1000030,Simulation,T
1000030,Action,T
1000030,Comedy,T
1000030,Family Friendly,T
1000030,Co-op,T
1000030,Local Co-Op,T
1000030,Local Multiplayer,T
1000030,Multiplayer,T
1000030,Singleplayer,T
1000030,Co-op Campaign,T
1000030,Fast-Paced,T
1000030,GameMaker,T
1000030,Single-player,C
1000030,Shared/Split Screen Co-op,C
1000030,Steam Achievements,C
1000030,Full controller support,C
1000030,Steam Trading Cards,C
1000030,Steam Cloud,C
1000030,Remote Play on Phone,C
1000030,Remote Play on Tablet,C
1000030,Remote Play on TV,C
1000030,Remote Play Together,C
1000030,Mild Violence,R
1000080,Action,T
1000080,Indie,T
1000080,RPG,T
1000080,Adventure,T
1000080,Action Roguelike,T
1000080,Anime,T
1000080,Action RPG,T
1000080,Roguelite,T
1000080,Multiplayer,T
1000080,Hack and Slash,T
1000080,Roguelike,T
1000080,Linear,T
1000080,Singleplayer,T
1000080,Early Access,T
1000080,Single-player,C
1000080,Steam Achievements,C
1000080,Full controller support,C
1000080,Steam Trading Cards,C
1000280,Turn-Based Strategy,T
1000280,Word Game,T
1000280,2D,T
1000280,CRPG,T
1000280,RPG,T
1000280,Anime,T
1000280,Cartoon,T
1000280,Drama,T
1000280,Indie,T
1000280,Multiple Endings,T
1000280,Singleplayer,T
1000280,Story Rich,T
1000280,RPGMaker,T
1000280,Sexual Content,T
1000280,Single-player,C
1000280,Steam is learning about this game,C
1000360,Swordplay,T
1000360,Fighting,T
1000360,Action,T
1000360,Physics,T
1000360,Realistic,T
1000360,3D Fighter,T
1000360,Medieval,T
1000360,Historical,T
1000360,Gore,T
1000360,Combat,T
1000360,Violent,T
1000360,PvP,T
1000360,Early Access,T
1000360,Indie,T
1000360,3D,T
1000360,Singleplayer,T
1000360,Local Multiplayer,T
1000360,PvE,T
1000360,Martial Arts,T
1000360,Controller,T
1000360,Single-player,C
1000360,Shared/Split Screen PvP,C
1000360,Full controller support,C
1000360,Remote Play on Phone,C
1000360,Remote Play on Tablet,C
1000360,Remote Play Together,C
1000410,Action,T
1000410,Retro,T
1000410,FPS,T
1000410,Gore,T
1000410,Violent,T
1000410,Early Access,T
1000410,Old School,T
1000410,First-Person,T
1000410,Horror,T
1000410,Arena Shooter,T
1000410,Shooter,T
1000410,Atmospheric,T
1000410,Singleplayer,T
1000410,1990's,T
1000410,Single-player,C
1000717,Free to Play,T
1000717,Simulation,T
1000717,Massively Multiplayer,T
1000717,Sports,T
1000717,Single-player,C
1000717,MMO,C
1000717,Online PvP,C
1000717,Online Co-op,C
1000717,Downloadable Content,C
1000717,Full controller support,C
1000718,Simulation,T
1000718,Free to Play,T
1000718,Massively Multiplayer,T
1000718,Sports,T
1000718,Single-player,C
1000718,MMO,C
1000718,Online PvP,C
1000718,Online Co-op,C
1000718,Downloadable Content,C
1000718,Full controller support,C
1000760,Action,T
1000760,Indie,T
1000760,Platformer,T
1000760,Side Scroller,T
1000760,2D,T
1000760,Pixel Graphics,T
1000760,Metroidvania,T
1000760,Souls-like,T
1000760,Difficult,T
1000760,Adventure,T
1000760,Female Protagonist,T
1000760,Singleplayer,T
1000760,Hack and Slash,T
1000760,Action-Adventure,T
1000760,Atmospheric,T
1000760,Exploration,T
1000760,Story Rich,T
1000760,Early Access,T
1000760,Beautiful,T
1000760,Replay Value,T
1000760,Single-player,C
1000760,Steam Achievements,C
1000760,Full controller support,C
1000760,Steam Cloud,C
1001140,Family Friendly,T
1001140,Casual,T
1001140,VR,T
1001140,Puzzle,T
1001140,Physics,T
1001140,Level Editor,T
1001140,Cult Classic,T
1001140,Singleplayer,T
1001140,Great Soundtrack,T
1001140,Tactical,T
1001140,Sandbox,T
1001140,6DOF,T
1001140,Cute,T
1001140,Relaxing,T
1001140,Beautiful,T
1001140,Cartoon,T
1001140,Immersive,T
1001140,Difficult,T
1001140,Cartoony,T
1001140,Memes,T
1001140,Single-player,C
1001140,Steam Achievements,C
1001370,Simulation,T
1001370,Single-player,C
1001370,Downloadable Content,C
1001370,Partial Controller Support,C
1001371,Simulation,T
1001371,Single-player,C
1001371,Downloadable Content,C
1001371,Partial Controller Support,C
1002020,Horror,T
1002020,Adventure,T
1002020,Sci-fi,T
1002020,Story Rich,T
1002020,Indie,T
1002020,Action,T
1002020,First-Person,T
1002020,Psychological Horror,T
1002020,Atmospheric,T
1002020,Early Access,T
1002020,Puzzle,T
1002020,Futuristic,T
1002020,Mystery,T
1002020,Science,T
1002020,Experimental,T
1002020,Psychedelic,T
1002020,Singleplayer,T
