id,OS,CPU,RAM,Graphics,DirectX,Disk Space,Additional,type
1000010,Windows 7 (32-bit Version),Intel Core(TM) i3-4160 / AMD X4 830,4 GB RAM,NVIDIA GeForce GTX 650 / AMD R7 350,Version 11,2 GB available space,,M
1000010,Windows 7 (64-bit Version),Intel Core(TM) i5-7500 / AMD Ryzen 3 1300X,8 GB RAM,NVIDIA GeForce GTX 750 / AMD R7 360,Version 11,2 GB available space,,R
1000030,Windows  7/8/10+,,4 GB RAM,GPU with at least 256MB of VRAM,,1200 MB available space,Minimum resolution of 1280x720 required,M
1000030,Windows  7/8/10+,,8 GB RAM,GPU with at least 512MB of VRAM or better,,1200 MB available space,Minimum resolution of 1280x720 required,R
1000080,Windows7 / Windows8 / Windows10,2.5Ghz,4 GB RAM,GT710,Version 11,3 GB available space,,M
1000080,Windows10 64bit,I7-6700HQ 2.59GHz,8 GB RAM,Nvidia GeForce GTX770,Version 11,3 GB available space,,R
1000280,Windows® 7/8/8.1/10,Intel Core2 Duo or better,2 GB RAM,DirectX 9/OpenGL 4.1 capable GPU,Version 9.0,800 MB available space,1280x768 or better Display. Lag may occur from loading menus or maps. Turn off other programs before running the game.,M
1000280,Windows® 7/8/8.1/10,2+ GHz Processor,2 GB RAM,"penGL ES 2.0 hardware driver support required for WebGL acceleration. (AMD Catalyst 10.9, nVidia 358.50)",Version 9.0,1 GB available space,1280x768 or better Display. Lag may occur from loading menus or maps. Turn off other programs before running the game.,R
1000360,Windows 7,Intel i-5,8 GB RAM,Geforce GTX 1050 (GPU) or Ryzen 4700g (APU),Version 11,7 GB available space,"For 720p 60 fps, Low Detail settings. Minimal specs unknown yet - need more testing",M
1000360,Windows 10,Intel i-5,8 GB RAM,Geforce GTX 970 or RX 590,Version 11,7 GB available space,"For 1080p 60 fps, High detail settings",R
1000410,Microsoft Windows® 7/8/8.1/10,Pentium 4 3ghz,1 GB RAM,Nvidia Geforce 7950GT,Version 9.0,3 GB available space,64-bit only,M
1000410,Microsoft Windows® 10 64bit,Intel Core i3,4 GB RAM,Nvidia Geforce 710GT,Version 9.0,3 GB available space,64-bit only,R
1000717,"OS Version - Windows 7, 8, 10 x64",Dual-Core 2.4 Ghz,4 GB RAM,Graphics Card Intel HD4600 or higher,,12 GB available space,External mouse or compatible Xbox controller required,M
1000717,"Windows 7,8,10 x64",Quad-Core 3.0 GHz,8 GB RAM,Graphics Card with 2 GB Video RAM: Nvidia Geforce GTX 660 or equivalent,,12 GB available space,External mouse or compatible Xbox controller required,R
1000718,,,,,,,,M
1000718,,,,,,,,R
1000760,Windows 7 or later,Intel Core i3 2.5GHz,4 GB RAM,GeForce GTX 660 or equivalent,,680 MB available space,,M
1000760,Windows 7 or later,Intel Core i5 3.0 GHz,8 GB RAM,GeForce GTX 660 or equivalent,,680 MB available space,,R
1001140,Windows 10,Intel Core i5-4590/AMD FX 8350 equivalent or better,8 GB RAM,NVIDIA GTX 1050 Ti / AMD Radeon RX 470 or greater,Version 11,400 MB available space,,M
1001140,Windows 10,Intel Core i5-4590/AMD Ryzen 5 1500X or greater,8 GB RAM,NVIDIA GTX 1060 / AMD Radeon RX 480 or greater,Version 11,400 MB available space,,R
1001370,64-bit Windows® 7 (SP1) / Windows® 8 / Windows® 10,Intel® Core™ i5/i7 3 GHz,8 GB RAM,GeForce GTX 660/Radeon HD 7770 with 2 Gb VRAM or better,Version 11,,DirectX® compatible flight stick is recommended.,M
1001370,,,,,,,,R
1001371,64-bit Windows® 7 (SP1) / Windows® 8 / Windows® 10,Intel® Core™ 2 Quad 2.6 GHz / Intel® Core™ i5/i7 2.6 GHz,8 GB RAM,GeForce GTX 660/Radeon HD 7770 with 2GB VRAM or better,Version 11,,DirectX®-compatible flight stick recommended,M
1001371,,,,,,,,R
1002020,Windows 7 or newer,"Quad-core Intel or AMD, 2.5 GHz or faster",6 GB RAM,nVidia GeForce GTX 750ti,,7 GB available space,,M
1002020,Windows 10,"Quad-core Intel or AMD, 2.5 GHz or faster",8 GB RAM,nVidia GeForce GTX 970,,7 GB available space,,R
1002430,Windows 7 or above,Intel Core 2 Duo 2.1 ghz or equivalent,4 GB RAM,"2nd Generation Intel Core HD Graphics (2000/3000), 512MB",,100 MB available space,,F
1002560,WIN7 SP1/WIN8/WIN10,1000MHz,512 MB RAM,OpenGL 2.0,,1200 MB available space,,F
1003090,Windows 7+,2.4 GHz,4 GB RAM,1 GB,,2 GB available space,,M
1003090,,,8 GB RAM,,,,,R
1003120,Windows 7 SP1,Intel Core i3 2.00 GHz or AMD equivalent,2 GB RAM,NVIDIA GeForce 450 or higher with 1GB Memory,Version 11,8 GB available space,,M
1003120,,,,,,,,R
1003310,Windows 7 64-bit,Intel Core i3 6100 or AMD FX-4350,4 GB RAM,"NVIDIA Geforce GT 1030, 2GB (Legacy: NVIDIA GeForce GTX 460), AMD RX550, 2GB (Legacy: AMD Radeon HD 6850), Integrated: Intel HD Graphics 630",Version 11,6 GB available space,,M
1003310,Windows 10  64-bit,Intel Core i5 6600 or AMD Ryzen 1600x,8 GB RAM,"NVIDIA Geforce GTX 1060, 3 GB (Legacy: NVIDIA Geforce GTX 780, 4GB) or AMD RX 580, 4 GB (Legacy: AMD R9 290X, 4GB)",Version 11,6 GB available space,,R
1003560,Windows 7 SP1+,,1 GB RAM,DX10 (shader model 4.0) capabilities.,,1 GB available space,,F
1003780,"Windows XP SP3, Vista or higher",Intel Celeron G1820 2.7 GHz / AMD FX 8320 3.5 GHz,4 GB RAM,"GeForce GTX 460, Radeon HD 5770, 768 MB Vram",Version 11,700 MB available space,,M
1003780,"Windows XP SP3, Vista or higher",Intel Core i3-4160 3.6 GHz / AMD QC A8-7670K 3.6GHz,4 GB RAM,"GeForce GTX 560+ Series, Radeon R9 270+",Version 11,700 MB available space,,R
1003890,64-bits Windows 7,Intel Core i5 (3GHz) or equivalent,8 GB RAM,AMD R7 260X / Nvidia GTX 750 Ti 2 GB,Version 11,30 GB available space,,M
1003890,64-bits Windows 10,Intel Core i7 (3GHz) or equivalent,16 GB RAM,AMD Radeon RX VEGA 64 / Nvidia GTX 1080,Version 12,30 GB available space,,R
1004270,Win7/win8/win10 64-bit,3.2 GHz Dual Core Processor,4 GB RAM,GeForce GTX 660 or equivalent with 2 GB of video RAM,Version 11,8 GB available space,,M
1004270,Win7/win10 64-bit,3.2 GHz Dual Core Processor,8 GB RAM,GTX1050/Vega56 or equivalent with 4GB of video RAM,Version 11,8 GB available space,,R
1004340,Any,,,,,Additional 2 GB available space,,F
1004490,WIN7-64 bit,Intel i3-2100 / AMD A8-5600k,4 GB RAM,GeForce GTX 630 / Radeon HD 6570,Version 11,3 GB available space,,M
1004490,Win10 -64 bit,Intel i5-650 / AMD A10-5800K,8 GB RAM,Nvidia GeForce GTX 650 / Radeon HD 7510,Version 11,3 GB available space,,R
